original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family
Corynandra chelidonii,7356039,,Corynandra chelidonii (L.fil.) Cochrane & Iltis,Plantae,Corynandra,Corynandra chelidonii,7356039,Cleomaceae
Gazania rigens,3112455,,Gazania rigens (L.) Gaertn.,Plantae,Gazania,Gazania rigens,3112455,Asteraceae
Lagochilus setulosus,5608234,,Lagochilus setulosus Vved.,Plantae,Lagochilus,Lagochilus setulosus,5608234,Lamiaceae
Pinus austriaca,5686812,7230699,Pinus austriaca Höss,Plantae,Pinus,Pinus nigra,7230699,Pinaceae
Siphonoglossa sessilis,3173169,5573164,Siphonoglossa sessilis (Jacq.) D.N.Gibson,Plantae,Dianthera,Dianthera sessilis,5573164,Acanthaceae
Neurolaena macrocephala,3096768,,Neurolaena macrocephala Sch.Bip. ex Hemsl.,Plantae,Neurolaena,Neurolaena macrocephala,3096768,Asteraceae
Neurolaena spp.,3096766,,Neurolaena R.Br.,Plantae,Neurolaena,spp.,3096766,Asteraceae
Flaveria brownii,3086828,,Flaveria brownii A.M.Powell,Plantae,Flaveria,Flaveria brownii,3086828,Asteraceae
Helenium thurberi,5401859,,Helenium thurberi A.Gray,Plantae,Helenium,Helenium thurberi,5401859,Asteraceae
Helichrysum gymnocomum,3131269,,Helichrysum gymnocomum DC.,Plantae,Helichrysum,Helichrysum gymnocomum,3131269,Asteraceae
Oenothera pilosella,3188916,,Oenothera pilosella Raf.,Plantae,Oenothera,Oenothera pilosella,3188916,Onagraceae
Oenothera spachiana,3188883,,Oenothera spachiana Torr. & A.Gray,Plantae,Oenothera,Oenothera spachiana,3188883,Onagraceae
Pseudognaphalium oxyphyllum,3101047,,Pseudognaphalium oxyphyllum (DC.) Kirp.,Plantae,Pseudognaphalium,Pseudognaphalium oxyphyllum,3101047,Asteraceae
Tagetes subulata,3088551,,Tagetes subulata Cerv.,Plantae,Tagetes,Tagetes subulata,3088551,Asteraceae
Ilex pernyi,5534631,,Ilex pernyi Franch.,Plantae,Ilex,Ilex pernyi,5534631,Aquifoliaceae
Adelanthus decipiens,7667408,5837545,Adelanthus decipiens (Hook.) Mitt.,Plantae,Pseudomarsupidium,Pseudomarsupidium decipiens,5837545,Adelanthaceae
Ferula conocaula,3639024,,Ferula conocaula Korovin,Plantae,Ferula,Ferula conocaula,3639024,Apiaceae
Peucedanum stenocarpum,3641310,7224204,Peucedanum stenocarpum Boiss. & Reut. ex Boiss.,Plantae,Peucedanum,Peucedanum officinale,7224204,Apiaceae
Solanum bukasovii,8095649,,Solanum bukasovii Juz.,Plantae,Solanum,Solanum bukasovii,8095649,Solanaceae
Solanum canasense,10990430,3799175,Solanum canasense Hawkes,Plantae,Solanum,Solanum candolleanum,3799175,Solanaceae
Solanum chancayense,2931509,2931507,Solanum chancayense Ochoa,Plantae,Solanum,Solanum mochiquense,2931507,Solanaceae
Solanum commersonii,7653915,,Solanum commersonii Dunal ex Poir.,Plantae,Solanum,Solanum commersonii,7653915,Solanaceae
Solanum hjertingii,2929727,,Solanum hjertingii Hawkes,Plantae,Solanum,Solanum hjertingii,2929727,Solanaceae
Solanum hougasii,2932138,,Solanum hougasii Correll,Plantae,Solanum,Solanum hougasii,2932138,Solanaceae
