plant_id,genus,species,gbif_key,synonyms,family_id
307,Conioselinum,officinale,12256163,Cnidium officinale,439
308,Codonocarpus,attenuatus,3718334,Codonocarpus australis,279
309,Espeletia,timotensis,3109147,Coespeletia timotensis,423
310,Commiphora,gurreh,3992899,,253
311,Conioselinum,anthriscoides,8393328,,439
312,Conyza,newii,5398209,,423
313,Coriandrum,sativum,3034871,,439
314,Thymbra,capitata,5607804,Coridothymus capitatus,396
315,Cornulaca,monacantha,3758905,,306
316,Corydalis,ternata,7314820,Corydalis nakaii,117
317,Corydalis,stricta,7314862,,117
318,Corymbia,citriodora,5418431,,235
319,Corymbia,maculata,5418386,,235
320,Couroupita,guianensis,3082562,,357
321,Crateva,magna,3871487,Crateva nurvala,275
322,Crithmum,maritimum,3632234,,439
323,Croton,adenocalyx,3058234,,166
324,Croton,eluteria,3058150,,166
325,Croton,jimenezii,3058571,,166
326,Croton,mucronifolius,3059751,,166
327,Croton,sonderianus,3059926,,166
328,Croton,stellulifer,5792355,,166
329,Croton,stelluliferus,3058539,,166
330,Cryptocarya,agathophylla,4178766,,25
331,Cuminum,cyminum,3034775,,439
332,Cunila,fasciculata,5610968,,396
333,Cunila,microcephala,5610946,,396
334,Curcuma,amada,2757535,,93
335,Curcuma,kwangsiensis,2757538,,93
336,Curcuma,longa,2757624,,93
337,Curcuma,phaeocaulis,2757534,,93
338,Curcuma,pierreana,2757653,,93
339,Curcuma,aromatica,2757544,Curcuma wenyujin,93
340,Curcuma,zedoaria,2757545,,93
341,Cymbopogon,flexuosus,8571291,,102
342,Cymbopogon,martini,4138713,Cymbopogon martinii,102
343,Daucus,carota,3034742,,439
344,Daucus,littoralis,6027290,,439
345,Dendrosenecio,kilimanjari,3118072,,423
346,Dictamnus,albus,5421338,,257
347,Dimocarpus,fumatus,7265064,,258
348,Diospyros,verrucosa,4070751,,354
349,Diplolophium,africanum,3637348,,439
350,Diplotaenia,cachrydifolia,3637256,,439
351,Dipterocarpus,alatus,4096596,,264
352,Drosera,peltata,3190855,,316
353,Ducrosia,ismaelis,3635600,,439
354,Dysphania,ambrosioides,5568446,,306
355,Echinophora,tenuifolia,5538701,,439
356,Echinophora,trichophylla,5538690,,439
357,Echinops,amplexicaulis,5392676,,423
358,Elettaria,cardamomum,2759871,,93
359,Elsholtzia,bodinieri,3900905,,396
360,Elsholtzia,fruticosa,7308971,,396
361,Elsholtzia,pilosa,3900245,,396
362,Elsholtzia,splendens,7308889,,396
363,Litogyne,gariepina,3127458,Epaltes gariepina,423
364,Erigeron,canadensis,3146791,,423
365,Eryngium,foetidum,3034425,,439
366,Etlingera,cevuga,2760194,,93
367,Etlingera,elatior,2759896,,93
368,Etlingera,pavieana,2760233,,93
369,Eucalyptus,angulosa,3176886,,235
370,Eucalyptus,apodophylla,3177301,,235
371,Eucalyptus,behriana,3177165,,235
372,Eucalyptus,bosistoana,3177230,,235
373,Eucalyptus,botryoides,3176253,,235
374,Eucalyptus,brassiana,3176392,,235
375,Eucalyptus,bridgesiana,3176857,,235
376,Eucalyptus,camaldulensis,11869920,,235
377,Eucalyptus,ceratocorys,3176348,,235
378,Eucalyptus,cladocalyx,3176313,,235
379,Eucalyptus,cloeziana,3176995,,235
380,Eucalyptus,crenulata,3176501,,235
381,Eucalyptus,cuprea,3176496,,235
382,Eucalyptus,dealbata,3176839,,235
383,Eucalyptus,delegatensis,3176597,,235
384,Eucalyptus,deuaensis,3176530,,235
385,Eucalyptus,diversicolor,3176934,,235
386,Eucalyptus,dolichorhyncha,3176411,,235
387,Eucalyptus,exserta,3176897,,235
388,Eucalyptus,fasciculosa,3177097,,235
389,Eucalyptus,forrestiana,3177153,,235
390,Eucalyptus,globulus,3176787,,235
391,Eucalyptus,grandis,3177028,,235
392,Eucalyptus,hybrida,3716616,Eucalyptus hybrid,235
393,Eucalyptus,incrassata,3177161,,235
394,Eucalyptus,intertexta,3176517,,235
395,Eucalyptus,jensenii,3176570,,235
396,Eucalyptus,lansdowneana,3177128,,235
397,Eucalyptus,leucoxylon,3177019,,235
398,Eucalyptus,longifolia,3177058,,235
399,Eucalyptus,globulus,3176459,Eucalyptus maidenii,235
400,Eucalyptus,melanophloia,3176829,,235
401,Eucalyptus,melliodora,3176794,,235
402,Eucalyptus,moluccana,3177285,,235
403,Eucalyptus,nitens,3176336,,235
404,Eucalyptus,nova-anglica,3176315,,235
405,Eucalyptus,ochrophloia,3176736,,235
406,Eucalyptus,odorata,7750091,,235
407,Eucalyptus,oviformis,3716031,,235
408,Eucalyptus,paniculata,3177273,,235
409,Eucalyptus,polyanthemos,3176703,,235
410,Eucalyptus,populnea,3176641,,235
411,Eucalyptus,porosa,3177263,,235
412,Eucalyptus,pulverulenta,3176788,,235
413,Eucalyptus,punctata,3176683,,235
414,Eucalyptus,radiata,3176655,,235
415,Eucalyptus,saligna,3177224,,235
416,Eucalyptus,siderophloia,3176419,,235
417,Eucalyptus,sideroxylon,3177189,,235
418,Eucalyptus,sparsa,3177100,,235
419,Eucalyptus,stoatei,3177277,,235
420,Eucalyptus,tereticornis,3176719,,235
421,Eucalyptus,tetraptera,3176930,,235
422,Eucalyptus,viridis,3177083,,235
423,Eugenia,uniflora,5416458,,235
424,Euonymus,nanoides,7265448,,144
425,Eupatorium,fortunei,5403095,,423
426,Zanthoxylum,ailanthoides,7269097,Fagara ailanthoides,257
427,Ferulago,nodosa,3635427,,439
428,Ficus,formosana,7262706,,202
429,Flacourtia,inermis,5331166,,187
430,Foeniculum,vulgare,3034922,,439
431,Forsythia,suspensa,5415056,,402
432,Forsythia,viridissima,5415053,,402
433,Freesia,kewensis,10673640,Freesia hybrida,72
434,Garcinia,dulcis,3189565,,160
435,Garcinia,oligantha,3713451,,160
436,Gardenia,fosbergii,5335026,,381
437,Gossypium,sturtianum,3152671,,265
438,Hansenia,forbesii,5537977,,439
439,Hansenia,weberbaueriana,5537964,,439
440,Hedeoma,mandoniana,3888193,,396
441,Hedychium,coronarium,7883492,,93
442,Hedychium,spicatum,2758631,,93
443,Hedyosmum,mexicanum,3750498,,28
444,Helichrysum,bracteiferum,3131486,,423
445,Helichrysum,odoratissimum,3131161,,423
446,Heracleum,dissectum,6026395,,439
447,Heracleum,persicum,3628745,,439
448,Heteranthemis,viscidehirta,3104078,,423
449,Homalomena,occulta,2868708,,32
450,Houttuynia,cordata,5384931,,14
451,Humulus,lupulus,2984535,,199
452,Hypericum,hyssopifolium,7527992,,170
453,Hypericum,perforatum,3189486,,170
454,Hypericum,scabrum,3711829,,170
455,Condea,emoryi,7542255,Hyptis emoryi,396
456,Hyptis,goyazensis,3904826,,396
457,Mesosphaerum,pectinatum,3889976,Hyptis pectinata,396
458,Cantinoa,americana,7664995,Hyptis spicigera,396
459,Mesosphaerum,suaveolens,3889017,Hyptis suaveolens,396
460,Hyssopus,officinalis,5341387,,396
461,Hyssopus,seravschanicus,5609159,,396
462,Ilex,affinis,7315765,,416
463,Illicium,anisatum,7314073,,6
464,Illicium,difengpi,8066939,,6
465,Illicium,verum,2889756,,6
466,Iris,spuria,5298946,,72
467,Isodon,umbrosus,7308525,Isodon kameba,396
468,Isodon,melissoides,5608920,,396
469,Isodon,rugosus,5608857,,396
470,Jacobaea,subalpina,5388603,,423
471,Kaempferia,pulchra,5301431,,93
472,Kunzea,ericoides,5419997,,235
473,Kunzea,flavescens,5420028,,235
474,Kunzea,pauciflora,5420010,,235
475,Kunzea,sinclairii,5419977,,235
476,Laggera,crispata,3098694,Laggera pterodonta,423
477,Lagoecia,cuminoides,8419745,,439
478,Lantana,camara,2925303,,415
479,Laurus,nobilis,3034015,,25
480,Lavandula,angustifolia,2927305,,396
481,Lavandula,latifolia,2927304,,396
482,Lavandula,stoechas,2927303,,396
483,Leonotis,leonurus,2926906,,396
484,Lepechinia,chilensis,11099633,Lepechinia chamaedryoides,396
485,Lepechinia,floribunda,3888808,,396
486,Leptospermum,scoparium,3181762,,235
487,Levisticum,officinale,5371772,,439
488,Aniba,puchury-minor,7304533,Licaria puchuri-major,25
489,Ligularia,hodgsonii,5395405,,423
490,Oreocome,striata,3639584,Ligusticum striatum,439
491,Lippia,abyssinica,4086591,,415
492,Lippia,adoensis,7297650,,415
493,Lippia,alnifolia,4086389,,415
494,Lippia,gracilis,10869377,,415
495,Lippia,grata,4084112,,415
496,Lippia,origanoides,7297353,Lippia graveolens,415
497,Lippia,multiflora,4085693,,415
498,Lantana,ukambensis,4083763,Lippia ukambensis,415
499,Liquidambar,orientalis,3152825,,129
500,Liquidambar,styraciflua,3152824,,129
501,Liriodendron,tulipifera,3152861,,20
502,Litchi,chinensis,3190002,,258
503,Litsea,cubeba,3033977,,25
504,Maesopsis,eminii,3039521,,203
505,Magnolia,biondii,3153889,,20
506,Magnolia,denudata,3153582,,20
507,Magnolia,kobus,3153260,,20
508,Magnolia,liliiflora,3153228,Magnolia liliflora,20
509,Magnolia,officinalis,3153830,,20
510,Magnolia,salicifolia,3153771,,20
511,Magnolia,sprengeri,3152927,,20
512,Manekia,naranjoana,4186357,,13
513,Melaleuca,alternifolia,5416091,,235
514,Melaleuca,decussata,5416180,,235
515,Melaleuca,leucadendra,5415976,,235
516,Melaleuca,linariifolia,5415842,,235
517,Melaleuca,parviflora,8360833,,235
518,Melaleuca,quinquenervia,5415832,,235
519,Melaleuca,squarrosa,8259705,,235
520,Mentha,piperita,8707933,Mentha X piperita,396
521,Mentha,aquatica,2927208,,396
522,Mentha,arvensis,2927192,,396
523,Mentha,pulegium,2927189,,396
524,Mentha,spicata,2927175,,396
525,Mentha,suaveolens,2927190,,396
526,Micromeria,biflora,7307212,,396
527,Micromeria,croatica,7307160,,396
528,Micromeria,juliana,7774615,,396
529,Micromeria,maderensis,9616912,,396
530,Micromeria,myrtifolia,5606274,,396
531,Micromeria,teneriffae,8063081,,396
532,Minthostachys,andina,3884683,,396
533,Minthostachys,glabrescens,3884636,,396
534,Minthostachys,mollis,7306778,,396
535,Monarda,citriodora,5341423,,396
536,Monarda,fistulosa,5341411,,396
537,Monodora,tenuifolia,3154093,,15
538,Moringa,oleifera,3054181,,282
539,Mosla,cavaleriei,3905218,,396
540,Mosla,chinensis,7309491,,396
541,Murraya,koenigii,5421333,,257
542,Murraya,paniculata,8190743,,257
543,Myrcia,hedraiophylla,10870581,,235
544,Myrcianthes,fragrans,9920389,,235
545,Myristica,fragrans,5406817,,19
546,Myrtus,communis,3180085,,235
547,Narcissus,tazetta,2858963,,63
548,Nardostachys,jatamansi,4095989,,438
549,Nelumbo,lutea,7503234,,119
550,Nepeta,annua,5610797,,396
551,Nepeta,crispa,5610637,,396
552,Nepeta,racemosa,5341497,Nepeta mussini,396
553,Nepeta,nuda,7309059,,396
554,Nepeta,viscida,5609450,,396
555,Nicotiana,tabacum,2928774,,388
556,Nigella,sativa,5371700,,118
557,Ocimum,americanum,2927097,,396
558,Ocimum,basilicum,2927096,,396
559,Ocimum,gratissimum,2927094,,396
560,Ocotea,austinii,4177360,,25
561,Mespilodaphne,morae,11077015,Ocotea morae,25
562,Odixia,angusta,3098301,,423
563,Oplopanax,elatus,3036347,,441
564,Opuntia,ficus-indica,5384064,,312
565,Origanum,acutidens,3895404,,396
566,Origanum,adanense,3895399,,396
567,Origanum,cordifolium,3895043,,396
568,Origanum,dictamnus,3894972,,396
569,Origanum,majorana,2926615,Origanum dubium,396
570,Origanum,floribundum,3894864,,396
571,Origanum,hypericifolium,3894624,,396
572,Origanum,intercedens,3894580,,396
573,Origanum,laevigatum,3894533,,396
574,Origanum,minutiflorum,3894315,,396
575,Origanum,onites,2926613,,396
576,Origanum,paniculatum,3894144,,396
577,Origanum,ramonense,3894046,,396
578,Origanum,sipyleum,3893904,,396
579,Origanum,syriacum,6411178,,396
580,Origanum,vulgare,2926612,,396
581,Osbornia,octodonta,5420695,,235
582,Osmorhiza,aristata,3034161,,439
583,Ostericum,grosseserratum,5832015,,439
584,Otostegia,fruticosa,7307811,,396
585,Pelargonium,citronellum,3827448,,229
586,Pelargonium,quercifolium,9499241,,229
587,Perilla,frutescens,5341394,,396
588,Salvia,abrotanoides,11064584,Perovskia abrotanoides,396
589,Salvia,yangii,10801424,Perovskia atriplicifolia,396
590,Persea,americana,3034046,Persea tolimanensis,25
591,Petasites,albus,7749287,,423
592,Petasites,tatewakianus,3088317,,423
593,Petroselinum,crispum,7828157,,439
594,Oreoselinum,nigrum,3638577,Peucedanum oreoselinum,439
595,Phaseolus,vulgaris,5350452,,193
596,Phyla,nodiflora,5341112,,415
597,Reichardia,crystallina,5385652,Picridium crystallinum,423
598,Pilocarpus,jaborandi,3190420,,257
599,Pilocarpus,pauciflorus,7269527,,257
600,Pimenta,dioica,3186061,,235
601,Pimenta,racemosa,3186096,,235
602,Pimpinella,serbica,7412652,,439
603,Piper,aduncum,3086337,,13
604,Piper,augustum,7305990,,13
605,Piper,auritum,3086352,,13
606,Piper,crassinervium,7305747,,13
607,Piper,cubeba,7606629,,13
608,Piper,lanceaefolium,7305944,,13
609,Piper,marginatum,3086325,,13
610,Piper,nigrum,3086357,,13
611,Piper,sylvestre,4185246,,13
612,Pistacia,chinensis,3190586,Pistacia integerrima,251
613,Pistacia,vera,3190585,,251
614,Plectranthus,fruticosus,8036546,,396
615,Coleus,cylindraceus,10925826,Plectranthus marrubioides,396
616,Pleogyne,australis,3831015,Pleogyne cunninghami,116
617,Pluchea,dioscoridis,3132635,,423
618,Podachaenium,eminens,3149837,,423
619,Polygala,amara,4051803,,195
620,Polygala,senega,3191367,,195
621,Porophyllum,ruderale,3103948,,423
622,Portulaca,okinawensis,4022569,,334
623,Primula,macrophylla,8090966,,362
624,Prosopis,glandulosa,5358457,,193
625,Protium,heptaphyllum,7286785,,253
626,Prunus,laurocerasus,3021496,,204
627,Psidium,friedrichsthalianum,5420358,,235
628,Psidium,guajava,5420380,,235
629,Psidium,salutare,5420400,,235
630,Craibia,grandiflora,2944955,Pterocarpus grandiflorus,193
631,Punica,granatum,5420901,,233
632,Pyrola,decorata,7328456,,355
633,Pyrola,rotundifolia,2888269,,355
634,Quercus,ilex,2879098,,209
635,Quercus,serrata,2879649,,209
636,Renealmia,floribunda,5302637,,93
637,Rhodiola,rosea,2985688,,132
638,Rhododendron,mucronulatum,7328287,,355
