original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key,family,family_id
Euphorbia fischeriana,3066964,,Euphorbia fischeriana Steud.,Plantae,Euphorbia,Euphorbia fischeriana,3066964,Euphorbiaceae,166
Euphorbia guyoniana,3068310,,Euphorbia guyoniana Boiss. & Reut.,Plantae,Euphorbia,Euphorbia guyoniana,3068310,Euphorbiaceae,166
Euphorbia jolkinii,3066890,,Euphorbia jolkinii Boiss.,Plantae,Euphorbia,Euphorbia jolkinii,3066890,Euphorbiaceae,166
Euphorbia kansui,3065761,,Euphorbia kansui S.L.Liou ex S.B.Ho,Plantae,Euphorbia,Euphorbia kansui,3065761,Euphorbiaceae,166
Euphorbia lathyris,3066965,,Euphorbia lathyris L.,Plantae,Euphorbia,Euphorbia lathyris,3066965,Euphorbiaceae,166
Euphorbia neriifolia,3064865,,Euphorbia neriifolia L.,Plantae,Euphorbia,Euphorbia neriifolia,3064865,Euphorbiaceae,166
Euphorbia nicaeensis,3065819,,Euphorbia nicaeensis All.,Plantae,Euphorbia,Euphorbia nicaeensis,3065819,Euphorbiaceae,166
Euphorbia portulacoides,3064873,,Euphorbia portulacoides L.,Plantae,Euphorbia,Euphorbia portulacoides,3064873,Euphorbiaceae,166
Euphorbia resinfera,3068445,,Euphorbia resinifera O.Berg,Plantae,Euphorbia,Euphorbia resinifera,3068445,Euphorbiaceae,166
Euphorbia retusa,3068128,,Euphorbia retusa Forssk.,Plantae,Euphorbia,Euphorbia retusa,3068128,Euphorbiaceae,166
Euphorbia royleana,3065786,,Euphorbia royleana Boiss.,Plantae,Euphorbia,Euphorbia royleana,3065786,Euphorbiaceae,166
Euphorbia sapinii,3069585,,Euphorbia sapinii De Wild.,Plantae,Euphorbia,Euphorbia sapinii,3069585,Euphorbiaceae,166
Euphorbia spp.,11397237,,Euphorbia L.,Plantae,Euphorbia,spp.,11397237,Euphorbiaceae,166
Euphorbia sulcata,3065910,,Euphorbia sulcata Lens ex Loisel.,Plantae,Euphorbia,Euphorbia sulcata,3065910,Euphorbiaceae,166
Euphorbia tirucalli,3069353,,Euphorbia tirucalli L.,Plantae,Euphorbia,Euphorbia tirucalli,3069353,Euphorbiaceae,166
Euphorbia trigona,3067098,,Euphorbia trigona Mill.,Plantae,Euphorbia,Euphorbia trigona,3067098,Euphorbiaceae,166
Garcinia cymosa,7330373,,Garcinia cymosa (K.Schum.) I.M.Turner & P.F.Stevens,Plantae,Garcinia,Garcinia cymosa,7330373,Clusiaceae,160
Garcinia livingstonei,3189564,,Garcinia livingstonei T.Anderson,Plantae,Garcinia,Garcinia livingstonei,3189564,Clusiaceae,160
Garcinia myrtifolia,3189567,,Garcinia myrtifolia A.C.Sm.,Plantae,Garcinia,Garcinia myrtifolia,3189567,Clusiaceae,160
Garcinia pseudoguttifera,3713084,,Garcinia pseudoguttifera Seem.,Plantae,Garcinia,Garcinia pseudoguttifera,3713084,Clusiaceae,160
Lathyrus sativus,5356488,,Lathyrus sativus L.,Plantae,Lathyrus,Lathyrus sativus,5356488,Fabaceae,193
Lens culinaris,5350010,3973001.0,Lens culinaris Medik.,Plantae,Vicia,Vicia lens,3973001,Fabaceae,193
Macaranga tanarius,3074251,,Macaranga tanarius (L.) Müll.Arg.,Plantae,Macaranga,Macaranga tanarius,3074251,Euphorbiaceae,166
Monocyclanthus vignei,3154215,,Monocyclanthus vignei Keay,Plantae,Monocyclanthus,Monocyclanthus vignei,3154215,Annonaceae,15
Phytolacca americana,3084015,,Phytolacca americana L.,Plantae,Phytolacca,Phytolacca americana,3084015,Phytolaccaceae,331
Pisum sativum,5347845,5347846.0,Pisum sativum L.,Plantae,Lathyrus,Lathyrus oleraceus,5347846,Fabaceae,193
Vigna cylindrica,2982669,7225149.0,Vigna cylindrica (L.) Skeels,Plantae,Vigna,Vigna unguiculata,7225149,Fabaceae,193
Vitellaria paradoxa,2886750,,Vitellaria paradoxa C.F.Gaertn.,Plantae,Vitellaria,Vitellaria paradoxa,2886750,Sapotaceae,364
Artemisia anomala,3121446,,Artemisia anomala S.Moore,Plantae,Artemisia,Artemisia anomala,3121446,Asteraceae,423
Artocarpus integra,3764723,2984565.0,Artocarpus integra,Plantae,Artocarpus,Artocarpus heterophyllus,2984565,Moraceae,202
Canscora alata,3840335,,Canscora alata (Roth) Wall.,Plantae,Canscora,Canscora alata,3840335,Gentianaceae,379
Centaurium linarifolium,7269766,7467256.0,Centaurium linariifolium (Lam.) Druce,Plantae,Centaurium,Centaurium quadrifolium,7467256,Gentianaceae,379
Centaurium spicatum,5414470,5595243.0,Centaurium spicatum (L.) Fritsch,Plantae,Schenkia,Schenkia spicata,5595243,Gentianaceae,379
Chironia krebsii,5595784,,Chironia krebsii Griseb.,Plantae,Chironia,Chironia krebsii,5595784,Gentianaceae,379
Eupatorium sachalinense,5402847,5402845.0,Eupatorium sachalinense (F.Schmidt) Makino,Plantae,Eupatorium,Eupatorium glehnii,5402845,Asteraceae,423
Garcinia linii,3713987,,Garcinia linii C.E.Chang,Plantae,Garcinia,Garcinia linii,3713987,Clusiaceae,160
Hoppea dichotoma,5595116,,Hoppea dichotoma Hayne ex Willd.,Plantae,Hoppea,Hoppea dichotoma,5595116,Gentianaceae,379
Leptochloa digitata,2703874,,Leptochloa digitata (R.Br.) Domin,Plantae,Leptochloa,Leptochloa digitata,2703874,Poaceae,102
Piper umbellatum,3086364,,Piper umbellatum L.,Plantae,Piper,Piper umbellatum,3086364,Piperaceae,13
Sceletium subvelutinum,3707377,3704283.0,Sceletium subvelutinum L.Bolus,Plantae,Mesembryanthemum,Mesembryanthemum varians,3704283,Aizoaceae,305
Senecio brasiliensis,3107780,,Senecio brasiliensis (Spreng.) Less.,Plantae,Senecio,Senecio brasiliensis,3107780,Asteraceae,423
Tovomita krukovii,3711378,,Tovomita krukovii A.C.Sm.,Plantae,Tovomita,Tovomita krukovii,3711378,Clusiaceae,160
Ferula vesceritensis,7569655,,Ferula vesceritensis Coss. & Durieu ex Batt. & Trab.,Plantae,Ferula,Ferula vesceritensis,7569655,Apiaceae,439
Khaya senegalensis,3190508,,Khaya senegalensis (Desv.) A.Juss.,Plantae,Khaya,Khaya senegalensis,3190508,Meliaceae,255
Ruellia tuberosa,5415418,,Ruellia tuberosa L.,Plantae,Ruellia,Ruellia tuberosa,5415418,Acanthaceae,390
Brocchia cinerea,5390421,,Brocchia cinerea (Delile) Vis.,Plantae,Brocchia,Brocchia cinerea,5390421,Asteraceae,423
Terminalia chebula,3189388,,Terminalia chebula Retz.,Plantae,Terminalia,Terminalia chebula,3189388,Combretaceae,231
Terminalia species,3189387,,Terminalia L.,Plantae,Terminalia,spp.,3189387,Combretaceae,231
Oreopanax guatemalensis,3036590,,Oreopanax guatemalensis Decne. & Planch.,Plantae,Oreopanax,Oreopanax guatemalensis,3036590,Araliaceae,441
Artemisia herba-alba,3120848,,Artemisia herba-alba Asso,Plantae,Artemisia,Artemisia herba-alba,3120848,Asteraceae,423
Nitraria retusa,3986936,,Nitraria retusa (Forssk.) Asch.,Plantae,Nitraria,Nitraria retusa,3986936,Nitrariaceae,256
Tamarix nilotica,7316455,,Tamarix nilotica (Ehrenb.) Bunge,Plantae,Tamarix,Tamarix nilotica,7316455,Tamaricaceae,341
Tamarix senegalensis,3613063,,Tamarix senegalensis DC.,Plantae,Tamarix,Tamarix senegalensis,3613063,Tamaricaceae,341
Alpinia japonica,5302050,,Alpinia japonica (Thunb.) Miq.,Plantae,Alpinia,Alpinia japonica,5302050,Zingiberaceae,93
Apium graveolens,5371879,,Apium graveolens L.,Plantae,Apium,Apium graveolens,5371879,Apiaceae,439
Cymbopogon schoenanthus,2705269,,Cymbopogon schoenanthus (L.) Spreng.,Plantae,Cymbopogon,Cymbopogon schoenanthus,2705269,Poaceae,102
Ferula spp.,3034682,,Ferula L.,Plantae,Ferula,spp.,3034682,Apiaceae,439
Rubus rosifolius,8234521,,Rubus rosifolius Sm.,Plantae,Rubus,Rubus rosifolius,8234521,Rosaceae,204
Acca sellowiana,5418629,3181977.0,Acca sellowiana (O.Berg) Burret,Plantae,Feijoa,Feijoa sellowiana,3181977,Myrtaceae,235
Aceriphyllum rossii,5567874,7339206.0,Aceriphyllum rossii (Oliv.) Engl.,Plantae,Mukdenia,Mukdenia rossii,7339206,Saxifragaceae,142
Achillea abrotanoides,3120350,,Achillea abrotanoides (Vis.) Vis.,Plantae,Achillea,Achillea abrotanoides,3120350,Asteraceae,423
Achillea arabica,3120275,,Achillea arabica Kotschy,Plantae,Achillea,Achillea arabica,3120275,Asteraceae,423
Achillea clypeolata,3120016,,Achillea clypeolata Sm.,Plantae,Achillea,Achillea clypeolata,3120016,Asteraceae,423
Achillea crithmifolia,8059665,,Achillea crithmifolia Waldst. & Kit.,Plantae,Achillea,Achillea crithmifolia,8059665,Asteraceae,423
Achillea erba-rotta,9536147,,Achillea erba-rotta All.,Plantae,Achillea,Achillea erba-rotta,9536147,Asteraceae,423
Achillea millefolium,3120060,,Achillea millefolium L.,Plantae,Achillea,Achillea millefolium,3120060,Asteraceae,423
Achillea moschata,6063803,7574220.0,"Achillea moschata Jacq., 1778",Plantae,Achillea,Achillea erba-rotta,7574220,Asteraceae,423
Achillea nana,8714852,,Achillea nana L.,Plantae,Achillea,Achillea nana,8714852,Asteraceae,423
Achillea nobilis,3120024,,Achillea nobilis L.,Plantae,Achillea,Achillea nobilis,3120024,Asteraceae,423
Achillea ptarmica,3120333,,Achillea ptarmica L.,Plantae,Achillea,Achillea ptarmica,3120333,Asteraceae,423
Aconitum episcopale,7277368,,Aconitum episcopale H.Lév.,Plantae,Aconitum,Aconitum episcopale,7277368,Ranunculaceae,118
Acorus calamus,2873769,,Acorus calamus L.,Plantae,Acorus,Acorus calamus,2873769,Acoraceae,29
Acorus gramineus,2873807,,Acorus gramineus Aiton,Plantae,Acorus,Acorus gramineus,2873807,Acoraceae,29
Actinodium cunninghamii,3177659,,Actinodium cunninghamii Schauer ex Lindl.,Plantae,Actinodium,Actinodium cunninghamii,3177659,Myrtaceae,235
Aegle marmelos,5421195,,Aegle marmelos (L.) Corrêa,Plantae,Aegle,Aegle marmelos,5421195,Rutaceae,257
Aeollanthus pubescens,3889346,,Aeollanthus pubescens Benth.,Plantae,Aeollanthus,Aeollanthus pubescens,3889346,Lamiaceae,396
Aframomum angustifolium,2758823,,Aframomum angustifolium (Sonn.) K.Schum.,Plantae,Aframomum,Aframomum angustifolium,2758823,Zingiberaceae,93
Aframomum melegueta,2758930,,Aframomum melegueta K.Schum.,Plantae,Aframomum,Aframomum melegueta,2758930,Zingiberaceae,93
Agastache rugosa,7307327,,Agastache rugosa (Fisch. & C.A.Mey.) Kuntze,Plantae,Agastache,Agastache rugosa,7307327,Lamiaceae,396
Agathosma betulina,3190125,,Agathosma betulina (Bergius) Pillans,Plantae,Agathosma,Agathosma betulina,3190125,Rutaceae,257
Agathosma capensis,3834661,,Agathosma capensis (L.) Druce,Plantae,Agathosma,Agathosma capensis,3834661,Rutaceae,257
Agnorhiza bolanderi,3093481,,Agnorhiza bolanderi (A.Gray) W.A.Weber,Plantae,Agnorhiza,Agnorhiza bolanderi,3093481,Asteraceae,423
Ajania fastigiata,3112246,,Ajania fastigiata (C.Winkl.) Poljakov,Plantae,Ajania,Ajania fastigiata,3112246,Asteraceae,423
Akebia quinata,3033965,,Akebia quinata (Houtt.) Decne.,Plantae,Akebia,Akebia quinata,3033965,Lardizabalaceae,115
Akebia trifoliata,7306109,,Akebia trifoliata (Thunb.) Koidz.,Plantae,Akebia,Akebia trifoliata,7306109,Lardizabalaceae,115
Aloysia citriodora,5341164,,Aloysia citriodora Palau,Plantae,Aloysia,Aloysia citriodora,5341164,Verbenaceae,415
Aloysia citrodora,5667503,,Aloysia citrodora Paláu,Plantae,Aloysia,Aloysia citrodora,5667503,Verbenaceae,415
Aloysia triphylla,2925634,,Aloysia Paláu,Plantae,Aloysia,spp.,2925634,Verbenaceae,415
Alphinia galanga,5302225,,Alpinia galanga (L.) Willd.,Plantae,Alpinia,Alpinia galanga,5302225,Zingiberaceae,93
Alpinia breviligulata,5302180,,Alpinia breviligulata (Gagnep.) Gagnep.,Plantae,Alpinia,Alpinia breviligulata,5302180,Zingiberaceae,93
Alpinia katsumadai,5635657,,"Alpinia katsumadai Hayata, 1915",Plantae,Alpinia,Alpinia katsumadai,5635657,Zingiberaceae,93
Alpinia zerumbet,5301979,,Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.,Plantae,Alpinia,Alpinia zerumbet,5301979,Zingiberaceae,93
Ambrosia artemisiifolia,8002952,,Ambrosia artemisiifolia L.,Plantae,Ambrosia,Ambrosia artemisiifolia,8002952,Asteraceae,423
Ammi majus,3034182,,Ammi majus L.,Plantae,Ammi,Ammi majus,3034182,Apiaceae,439
Amomum compactum,8038080,,"Amomum compactum Roem. & Schult., 1817",Plantae,Amomum,Amomum compactum,8038080,Zingiberaceae,93
Amomum krervanh,8172268,,Amomum krervanh Pierre,Plantae,Amomum,Amomum krervanh,8172268,Zingiberaceae,93
Anaxagorea clavata,3156859,3156858.0,Anaxagorea clavata R.E.Fr.,Plantae,Anaxagorea,Anaxagorea crassipetala,3156858,Annonaceae,15
Anethum graveolens,3034646,,Anethum graveolens L.,Plantae,Anethum,Anethum graveolens,3034646,Apiaceae,439
Angelica acutiloba,5537879,,Angelica acutiloba (Siebold & Zucc.) Kitag.,Plantae,Angelica,Angelica acutiloba,5537879,Apiaceae,439
Angelica gigas,5537749,,Angelica gigas Nakai,Plantae,Angelica,Angelica gigas,5537749,Apiaceae,439
Angelica sinensis,6027415,,Angelica sinensis (Oliv.) Diels,Plantae,Angelica,Angelica sinensis,6027415,Apiaceae,439
Anisotome antipoda,3641744,,Anisotome antipoda Hook.fil.,Plantae,Anisotome,Anisotome antipoda,3641744,Apiaceae,439
Annona cascarilloides,5407086,,Annona cascarilloides C.Wright ex Griseb.,Plantae,Annona,Annona cascarilloides,5407086,Annonaceae,15
Anthemis aciphylla,3122620,,Anthemis aciphylla Boiss.,Plantae,Anthemis,Anthemis aciphylla,3122620,Asteraceae,423
Anthemis aciphylla BOISS.var.discoidea BOISS,6296697,,"Anthemis aciphylla var. discoidea Boiss., 1875",Plantae,Anthemis,Anthemis aciphylla,6296697,Asteraceae,423
