original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom
Atractylodes chinensis,3122440,3122433,Atractylodes chinensis (Bunge) Koidz.,Plantae
Atractylodes lancea,3122433,NA,Atractylodes lancea (Thunb.) DC.,Plantae
Austrobaileya scandens,4197027,NA,Austrobaileya scandens C.T.White,Plantae
Baccharis dracunculifolia,3129176,NA,Baccharis dracunculifolia DC.,Plantae
Baccharis rufescens,7338560,NA,Baccharis rufescens Spreng.,Plantae
Baeckea frutescens,3187799,NA,Baeckea frutescens L.,Plantae
Baeckea frutescens L.,3187799,NA,Baeckea frutescens L.,Plantae
Bassia butyracea,5333838,2886375,Bassia butyracea Roxb.,Plantae
Bazzania japonica,6136274,NA,Bazzania japonica (Sande Lac.) Lindb.,Plantae
Beilschmiedia pendula,3034073,NA,Beilschmiedia pendula (Sw.) Hemsl.,Plantae
Benzoin praecox,5685883,7304475,Benzoin praecox Siebold & Zucc.,Plantae
Berberis julianae,3981543,NA,Berberis julianae C.K.Schneid.,Plantae
Beyeria brevifolia,8049210,NA,"Beyeria brevifolia (Müll.Arg.) Benth., 1873",Plantae
Bidens andicola,7338058,NA,Bidens andicola Kunth,Plantae
Blepharocalyx salicifolius,3187875,NA,Blepharocalyx salicifolius (Kunth) O.Berg,Plantae
Blepharocalyx tweediei,3187897,3187875,Blepharocalyx tweediei (Hook. & Arn.) O.Berg,Plantae
Boswellia carteri,5421353,8330171,Boswellia carteri Birdw.,Plantae
Boswellia carterii,5421353,8330171,Boswellia carteri Birdw.,Plantae
Boswellia sacra,8330171,NA,Boswellia sacra Flück.,Plantae
Bothriochloa bladhii,2704093,NA,Bothriochloa bladhii (Retz.) S.T.Blake,Plantae
Bridelia ferruginea,3076157,NA,Bridelia ferruginea Benth.,Plantae
Bunium paucifolium,6027277,NA,Bunium paucifolium DC.,Plantae
Bupleurum fruticescens,6027094,NA,Bupleurum fruticescens Loefl. ex L.,Plantae
Bupleurum fruticosum,3638793,NA,Bupleurum fruticosum L.,Plantae
Bursaria spinosa,7303844,NA,Bursaria spinosa Cav.,Plantae
Bystropogon canariensis,3904098,NA,Bystropogon canariensis (L.) L'Hér.,Plantae
Bystropogon mollis,2497,NA,Lamiaceae,Plantae
Bystropogon origanifolius,7309341,NA,Bystropogon origanifolius L'Hér.,Plantae
Callistemon linearis,3173349,NA,Callistemon linearis (Schrad. & J.C.Wendl.) Colvill ex Sweet,Plantae
Calycolpus warszewiczianus,8353141,NA,Calycolpus warszewiczianus O.Berg,Plantae
Canarium luzonicum,7445618,NA,Canarium luzonicum (Blume) A.Gray,Plantae
Canella winterana,3877834,NA,Canella winterana (L.) Gaertn.,Plantae
Cannabis sativa,5361880,NA,Cannabis sativa L.,Plantae
Cantinoa mutabilis,7471562,NA,Cantinoa mutabilis (Rich.) Harley & J.F.B.Pastore,Plantae
Capsicum annuum,2932944,NA,Capsicum annuum L.,Plantae
Carapichea ipecacuanha,2921359,NA,Carapichea ipecacuanha (Brot.) L.Andersson,Plantae
Cardamine pinnata,3045639,3045634,Cardamine pinnata (Lam.) W.T.Aiton,Plantae
Carica papaya,2874484,NA,Carica papaya L.,Plantae
Carum carvi,3034714,NA,Carum carvi L.,Plantae
Carum copticum,7741980,NA,"Carum copticum H.Karst., 1882",Plantae
Catha edulis,7979745,NA,Catha edulis Forssk.,Plantae
Catharanthus roseus,3169830,NA,Catharanthus roseus (L.) G.Don,Plantae
Cedrus libani,5284682,NA,Cedrus libani A.Rich.,Plantae
Centella asiatica,3034128,NA,Centella asiatica (L.) Urb.,Plantae
Centranthus longiflorus ssp. longiflorus,7298973,NA,Centranthus longiflorus subsp. longiflorus,Plantae
Ceratophyllum demersum,2882398,NA,Ceratophyllum demersum L.,Plantae
Cerbera dilatata,3169757,NA,Cerbera L.,Plantae
Chaerophyllum azoricum,3642488,NA,Chaerophyllum azoricum Trel.,Plantae
Chamaecyparis lawsoniana,2683866,NA,Chamaecyparis lawsoniana (A.Murray bis) Parl.,Plantae
Chamaecyparis lawsoniana (A. Murray bis) Parl.,2683866,NA,Chamaecyparis lawsoniana (A.Murray bis) Parl.,Plantae
Chamaecyparis obtusa,2683849,NA,Chamaecyparis obtusa (Siebold & Zucc.) Endl.,Plantae
Chamaecyparis obtusa var. formosana,2683863,NA,Chamaecyparis obtusa var. formosana (Hayata) Hayata,Plantae
