inchi_key,cids
PDFFNVIOJNUWTC-UHFFFAOYSA-N,71391887.0
DOCGNXPQHQXHJE-BEKLCXBBSA-N,
YDQIRODFTJGGMP-UHFFFAOYSA-N,420552.0
LCIXCHCKTZRXMH-UHFFFAOYSA-N,14539329.0
LZWQMJKDWBMYDJ-VRKXSDEHSA-N,163013002.0
RUDILYVZCUZXBH-RBUKOAKNSA-N,101584237.0
AJRWAVGXZFZZSG-BBDBBVEMSA-N,162976244.0
DOFJNFPSMUCECH-UHFFFAOYSA-N,358832.0
BEPIETOFKOVIFA-JSFUQZLZSA-N,
YDLNPEQLLBJXBA-XITCCLNHSA-N,14633234.0
LBIQJQUFSJKHIO-JFXBYULDSA-N,
SUJYKRDHFVJLFT-CADLGUROSA-N,101259326.0
CKAHWDNDUGDSLE-ARLBYUKCSA-N,443689.0
YZMYUSLXATVAEH-ODUXSGENSA-N,162939891.0
ZGTJRNKRQGVDST-CRDRRFEFSA-N,102408127.0
ITNGAGQTULAZRA-STBLJEOWSA-N,162817478.0
XPEVLOSUULAUFH-QOAKHUDCSA-N,455330.0
LFGJCJVUOXLYQA-CTQJHBNESA-N,162817496.0
RQMAFIGPECAUTA-SRLTZWDQSA-N,21579179.0
OCNYGKNIVPVPPX-HWKANZROSA-N,689075.0
FSLPMRQHCOLESF-SFMCKYFRSA-N,73170.0
XZRVRYFILCSYSP-OAHLLOKOSA-N,10104370.0
CNVZJPUDSLNTQU-SEYXRHQNSA-N,5281125.0
BVBDSKMFBNDVTM-KWDVGDNWSA-N,162817023.0
LLPYDSMSNNUQCD-OLECEOLFSA-N,14194089.0
BDHQMRXFDYJGII-IHHVCWBRSA-N,139585989.0
SWSXELQHTSGROU-XNOAKYPBSA-N,10985398.0
ANJTVLIZGCUXLD-DTWKUNHWSA-N,10235.0
XHPUGIGTDBEOQX-UHFFFAOYSA-N,13831735.0
KHSCYOFDKADJDJ-NQLMQOPMSA-N,119093.0
PCMORTLOPMLEFB-ONEGZZNKSA-N,637775.0
DDIISBOPYNGSCV-NFLJZBCPSA-N,91748044.0
NAVPGMZDCRNXQS-GMUQWCIUSA-N,163102386.0
UKMSUNONTOPOIO-UHFFFAOYSA-N,8215.0
ANKYEGIHRFWHIP-UHFFFAOYSA-N,639275.0
OLOOJGVNMBJLLR-UHFFFAOYSA-N,10212.0
BHIIMRBCELSOFD-UHFFFAOYSA-N,5385091.0
URSUMOWUGDXZHU-UHFFFAOYSA-N,96118.0
WQCFPYAJTXOZMT-KRWDZBQOSA-N,16737249.0
CITSACKBUNOFCC-SIVRJKEBSA-N,71501590.0
KNLQOXOBGHPAKT-BCUYAYFDSA-N,101243071.0
BOTJWYJRJNGWNY-PHYWWMGLSA-N,162817342.0
AULWDENWMBJIIQ-NGTUJAPCSA-N,162939077.0
WFMPBYKDVOTCEI-BVGQSLNGSA-N,101711019.0
PECBKFURXWMWOB-HLQDBOLLSA-N,162816881.0
IIMQPWGEANYNIW-UHFFFAOYSA-N,101177416.0
MFHUSFRUEBKKNJ-QRTUWBSPSA-N,86302418.0
WBYWAXJHAXSJNI-VOTSOKGWSA-N,444539.0
ZEGGZNOPAPRAIG-SPFKKGSWSA-N,5316128.0
VCKHKFVWKVWGMH-HSQINTTRSA-N,44258392.0
PZKISQRTNNHUGF-OACYRQNASA-N,6420079.0
IYRXGHQWARDYRT-UHFFFAOYSA-N,10093576.0
FRPZMMHWLSIFAZ-UHFFFAOYSA-N,5634.0
KGMSWPSAVZAMKR-ONCXSQPRSA-N,221118.0
WKKJGHCXVKEJNU-ZSAUSMIDSA-N,10421723.0
QFCZAZIEGZQUIA-KJZBXJTCSA-N,163082908.0
BOIMTDWNHXLGBB-FJOWKMTASA-N,163044313.0
RRPAUYJABCIHOM-YIMXGHOLSA-N,163000659.0
UBPWASPNRWXDEI-UHJNRKMWSA-N,10367373.0
QXHMPIGPMUUTTM-BWMOGTIPSA-N,162817370.0
AHKAJNLWAZYDIO-LNXXMYGKSA-N,100918313.0
QDVIEIMMEUCFMW-IMVLGZNNSA-N,131753146.0
BIIDYFNATFTPQL-OXGXWMBYSA-N,102341107.0
AFXJKZYCCNYESJ-FPYJHKRLSA-N,162866951.0
NWLNPDFDTSFGEU-SSQAHJBYSA-N,23304497.0
LZDBTSVRCPFSKK-JRHPLFMDSA-N,163070503.0
ITENTBHADJNDDH-DJTMHQFBSA-N,163028953.0
QFRPCGYYWUHGHK-LRJNHNEYSA-N,100927642.0
CSFQQZOIHVWGMN-BBAXEOEJSA-N,5281818.0
YSINCDVRUMTOPK-UHFFFAOYSA-N,5748551.0
HFGSQOYIOKBQOW-ZSDYHTTISA-N,6918774.0
FIERCWGNGPBXJU-CUMAYGAMSA-N,101316780.0
YZMKUGIAIUCXMP-UHFFFAOYSA-N,15726099.0
GOMGVOGXLFHDLK-VBLGTWNCSA-N,
YMBVLYVGHGDKHO-WHOFXGATSA-N,70697791.0
ADNCMUUXIVQCLS-IZZDOVSWSA-N,
QWVUOVZJBNQSNS-RRABCLCVSA-N,68871695.0
CPTCHGRDJMOIJZ-XHTKMIFXSA-N,51051617.0
LZDCVIUKAHOBOO-CQDGPTHBSA-N,102218051.0
SUYJZKRQHBQNCA-LSDHHAIUSA-N,73202.0
CNNRPFQICPFDPO-UHFFFAOYSA-N,68406.0
AMBQHHVBBHTQBF-UOUCRYGSSA-N,87691.0
JPKIPOLGLJFLJB-FKEXNYPISA-N,
XCDQFROEGGNAER-PFOIMGGJSA-N,119242.0
YEQVRBJRNFLOQJ-PABCKOPISA-N,10271607.0
CIUHLXZTZWTVFL-UHFFFAOYSA-N,124069.0
KPRHROAREBHTAT-UHFFFAOYSA-N,162816947.0
GEZJVEGHJRPQEX-BZNQNGANSA-N,49859721.0
LLVQPFGOXOWCAA-UHFFFAOYSA-N,46831109.0
LJYLKGAKLSAVRU-DHXXLEEMSA-N,162871615.0
AEMOLEFTQBMNLQ-YMDCURPLSA-N,439215.0
SRSSHSQCHFGYCO-ROJLCIKYSA-N,102154060.0
UJQGVDNQDFTTLZ-VNHYZAJKSA-N,6451579.0
IQKFJIADNDSMNL-IUODEOHRSA-N,11172838.0
OTEFXTOHJNWBLY-QHNYOMBNSA-N,16130408.0
DTOSIQBPPRVQHS-PDBXOOCHSA-N,5280934.0
GPSQZOFVCVOOIE-QWVHOXPHSA-N,20054929.0
CFVDPAXOTMTQCU-DYVOXHERSA-N,44258093.0
MQYXUWHLBZFQQO-CKEBZWMRSA-N,171666831.0
AJHDKYFWRKDQKY-VQPVHUJQSA-N,162817194.0
DKRPEPQABXORQH-FCJXHYIVSA-N,162916529.0
DLHMIGHUNOKCMU-XRMRWFDOSA-N,636531.0
OPFTUNCRGUEPRZ-QLFBSQMISA-N,6918391.0
NPZDJOAJXYBOPS-ZBCGBIJMSA-N,162816957.0
XAZUSEKHUAZKNO-BZMZKZLRSA-N,162817210.0
DNRWZUNVTTXWNQ-XCVWGVQFSA-N,162817025.0
HSDZWMOBUPRZEU-LXYWBZBZSA-N,643462.0
QKMXESBAFIKRAD-MGAVNPOISA-N,73351913.0
ALZAZMCIBRHMFF-UHFFFAOYSA-N,485077.0
SVUDFAVZLCGQAU-FPVZYODXSA-N,23246193.0
JXWAQRJFONLTSI-ASDZUOGYSA-N,5281602.0
ALDYHLYMNPPSIB-XJFVKYJOSA-N,11128594.0
WAZYPYJGZYLHHT-JGRMJRGVSA-N,2751795.0
BPHIWZWKPGDBFM-MLMJITEHSA-N,
NYDZRKZVFLLTLO-NSMLZSOPSA-N,9976812.0
HFPQKJMLIONCGP-UHFFFAOYSA-N,176918.0
KMAKOBLIOCQGJP-UHFFFAOYSA-N,69867.0
LAKWSSVAGFQTAY-UHFFFAOYSA-N,181937.0
HQLLRHCTVDVUJB-OBHOOXMTSA-N,73401.0
SDJVWZZBAQETFJ-QBUDDENOSA-N,162962921.0
OFLCPNIRDVOOEZ-WZONZLPQSA-N,155725.0
RXCXIMNHJACJBR-WJNVTSDDSA-N,102059824.0
VIRGMCFNCOBYML-YADHBBJMSA-N,101316764.0
GRUOWKYRKACQKC-KNAVROACSA-N,
XKXZHTWOHXJEOL-HMQRFDIMSA-N,23635315.0
MKGZGCPBKPSTST-ONVBXWCHSA-N,162995477.0
USMNOWBWPHYOEA-OFQRNFBNSA-N,6432452.0
HURZEHDJDIXQNI-BQKDNTBBSA-N,
VDDPQVQCXWFZJM-LDLRJHFFSA-N,91367949.0
XPHACJZIOXWENC-GOEBONIOSA-N,15549896.0
VSBPKNDASTZGIN-RNJSZURPSA-N,14466072.0
SJGCQOVOMXNEOA-SSCWBVFASA-N,5275800.0
CLMMNIDCMQCWFF-QPGGAUJDSA-N,15957672.0
WXIROVAKGQPXIF-MHNTVMBESA-N,44606345.0
PNXYHQNGWRDOHT-MQZLVKNTSA-N,162898331.0
COGPRPSWSKLKTF-APIJFGDWSA-N,91748749.0
MPHOFXNCVDRQLR-NLJAUKRCSA-N,101396727.0
HPDHKHMHQGCNPE-WYJNZVAZSA-N,91753676.0
GKQSXDGXJTVNAB-VMMYFBSFSA-N,162984780.0
KELZXQFUMCJJML-WEVVVXLNSA-N,57338679.0
MSIONGZCZSCDFP-HLGXRADNSA-N,163149196.0
IUWIDOIIEYZXFX-CMLSFYELSA-N,162817218.0
SFAHCAMKUIRNCU-DMEHNAEFSA-N,162842377.0
SISNFIMJZCCPLD-LDWIPMOCSA-N,102179926.0
DCNRYQODUSSOKC-MMLVVLEOSA-N,3080597.0
ONQKZEWRQOTVRA-UHFFFAOYSA-N,5325928.0
QKVCTWTVHSDDGI-ZGVCCVRISA-N,91746673.0
XQVRVLVORPSYNU-NTUHNPAUSA-N,5458646.0
WWUAKADIANYYEA-BFGUNEOZSA-N,162962549.0
NLNMITFNBJXRRP-XNTDXEJSSA-N,5319406.0
MDKCFLQDBWCQCV-UHFFFAOYSA-N,2346.0
SBHXYTNGIZCORC-ZDUSSCGKSA-N,440735.0
YDQWDHRMZQUTBA-UHFFFAOYSA-N,10207.0
VPYMCXHMAIDUNK-UHFFFAOYSA-N,10845133.0
JBRXRVFXQIKPEA-UHFFFAOYSA-N,10227.0
OLNJUISKUQQNIM-UHFFFAOYSA-N,10256.0
XLUAWXQORJEMBD-YUMQZZPRSA-N,6992261.0
FMCPZMXUDWPSID-UHFFFAOYSA-N,15726096.0
RSPZVQZNRINVPE-AOLXUEKXSA-N,21626479.0
WXQYRBLGGSLJHA-UHFFFAOYSA-N,3083613.0
DNHGCTXLAMDJER-XKSSXDPKSA-N,14589060.0
WKQNCWVTEPFCIP-QGLCIXTISA-N,
