original_name,gbif_id,gbif_accepted_id,gbif_accepted_name,kingdom,genus,species,gbif_key
Taxus cuspidata,5284524,,Taxus cuspidata Siebold & Zucc.,Plantae,Taxus,cuspidata,5284524
Theobroma speciosum,7657303,,Theobroma speciosum Willd. ex Spreng.,Plantae,Theobroma,speciosum,7657303
Torreya jackii,5284510,,Torreya jackii Chun,Plantae,Torreya,jackii,5284510
Torricellia tiliifolia,4259121,,Torricellia tiliifolia DC.,Plantae,Torricellia,tiliifolia,4259121
Triclisia dictyophylla,3829946,,Triclisia dictyophylla Diels,Plantae,Triclisia,dictyophylla,3829946
Urbanodendron verrucosum,4181404,,Urbanodendron verrucosum (Nees) Mez,Plantae,Urbanodendron,verrucosum,4181404
Vasconcellea cundinamarcensis,3838690,3838768.0,Vasconcellea cundinamarcensis V.M.Badillo,Plantae,Vasconcellea,cundinamarcensis,3838768
Vitex glabrata,2925565,,Vitex glabrata R.Br.,Plantae,Vitex,glabrata,2925565
Zanthoxylum kellermanii,3837423,8057777.0,Zanthoxylum kellermanii P.Wilson,Plantae,Zanthoxylum,kellermanii,8057777
Zizyphus lotus,3039418,,Ziziphus lotus (L.) Lam.,Plantae,Zizyphus,lotus,3039418
Acourtia longifolia,5388249,,Acourtia longifolia (S.F.Blake) Reveal & R.M.King,Plantae,Acourtia,longifolia,5388249
Capsicum frutescens,8403992,,Capsicum frutescens L.,Plantae,Capsicum,frutescens,8403992
Fritillaria bucharica,5300758,,Fritillaria bucharica Regel,Plantae,Fritillaria,bucharica,5300758
Fritillaria camschatcensis,5300639,,Fritillaria camschatcensis (L.) Ker Gawl.,Plantae,Fritillaria,camschatcensis,5300639
Fritillaria camtschatcensis,7295952,,"Fritillaria camtschatcensis Sweet, 1826",Plantae,Fritillaria,camtschatcensis,7295952
Fritillaria delavayi,5300627,,Fritillaria delavayi Franch.,Plantae,Fritillaria,delavayi,5300627
Fritillaria karelinii,5300486,,Fritillaria karelinii (Fisch. ex D.Don) Baker,Plantae,Fritillaria,karelinii,5300486
Fritillaria sewerzowii,5300745,,Fritillaria sewerzowii Regel,Plantae,Fritillaria,sewerzowii,5300745
Fritillaria tortifolia,5300608,,Fritillaria tortifolia X.Z.Duan & X.J.Zheng,Plantae,Fritillaria,tortifolia,5300608
Garcinia quaesita,3713013,,Garcinia quaesita Pierre,Plantae,Garcinia,quaesita,3713013
Leptactina senegambica,4938018,,Leptactina senegambica Hook.f.,Plantae,Leptactina,senegambica,4938018
Melicope ternata,3190202,,Melicope ternata J.R.Forst. & G.Forst.,Plantae,Melicope,ternata,3190202
Rhinopetalum,7295915,,"Rhinopetalum Fisch. ex J.E.Alexander, 1829",Plantae,Rhinopetalum,spp.,7295915
Solanum leptophyes,7300167,3799794.0,Solanum leptophyes Bitter,Plantae,Solanum,leptophyes,3799794
Veratrum grandiflorum,8652850,,Veratrum grandiflorum (Maxim. ex Miq.) O.Loes.,Plantae,Veratrum,grandiflorum,8652850
Veratrum mengtzeanum,2742092,,Veratrum mengtzeanum O.Loes.,Plantae,Veratrum,mengtzeanum,2742092
Veratrum nigrum,2742096,,Veratrum nigrum L.,Plantae,Veratrum,nigrum,2742096
Veratrum taliense,2742094,,Veratrum taliense O.Loes.,Plantae,Veratrum,taliense,2742094
Anthemis tigreensis,3122580,,Anthemis tigreensis J.Gay ex A.Rich.,Plantae,Anthemis,tigreensis,3122580
Anthoxanthum puelii,2705974,2705972.0,Anthoxanthum puelii Lecoq & Lamotte,Plantae,Anthoxanthum,puelii,2705972
Martynia annua,3172618,,Martynia annua L.,Plantae,Martynia,annua,3172618
Osmolindsaea japonica,8169935,,Osmolindsaea japonica (Baker) Lehtonen & Christenh.,Plantae,Osmolindsaea,japonica,8169935
Amomyrtella guili,3715897,,Amomyrtella guili (Speg.) Kausel,Plantae,Amomyrtella,guili,3715897
Bulbophyllum cheiri,2843948,,Bulbophyllum cheiri Lindl.,Plantae,Bulbophyllum,cheiri,2843948
Carduus getulus,3114774,,Carduus getulus Pomel,Plantae,Carduus,getulus,3114774
Chamaecrista duckeana,2949673,,Chamaecrista duckeana (P.Bezerra & A.Fern.) H.S.Irwin & Barneby,Plantae,Chamaecrista,duckeana,2949673
Cinnamomum oliveri,4181584,,Cinnamomum oliveri F.M.Bailey,Plantae,Cinnamomum,oliveri,4181584
Croton malambo,3058791,,Croton malambo H.Karst.,Plantae,Croton,malambo,3058791
Croton triangularis,3059617,,Croton triangularis Müll.Arg.,Plantae,Croton,triangularis,3059617
Dacrydium franklinii,5286180,2687707.0,Dacrydium franklinii Hook.f.,Plantae,Dacrydium,franklinii,2687707
Diosma acmaephylla,3831196,,Diosma acmaephylla Eckl. & Zeyh.,Plantae,Diosma,acmaephylla,3831196
Eremophila longifolia,5565892,,Eremophila longifolia (R.Br.) F.Muell.,Plantae,Eremophila,longifolia,5565892
Espeletia grandiflora,3105059,,Espeletia grandiflora Humb. & Bonpl.,Plantae,Espeletia,grandiflora,3105059
Illicium dunnianum,7314080,,Illicium dunnianum Tutcher,Plantae,Illicium,dunnianum,7314080
Lagascea mollis,3132776,,Lagascea mollis Cav.,Plantae,Lagascea,mollis,3132776
Nierembergia aristata,7299459,,Nierembergia aristata D.Don,Plantae,Nierembergia,aristata,7299459
Notylia fragrans,2850697,,Notylia fragrans Wullschl. ex H.Focke,Plantae,Notylia,fragrans,2850697
Phlegmariurus yunnanensis,3990723,,Phlegmariurus yunnanensis Ching,Plantae,Phlegmariurus,yunnanensis,3990723
Pimpinella puberula,5538818,,Pimpinella puberula (DC.) Boiss.,Plantae,Pimpinella,puberula,5538818
Pulmonaria mollis,7958783,,Pulmonaria mollis Wulfen ex Hornem.,Plantae,Pulmonaria,mollis,7958783
Tetracera alnifolia,5680805,,Tetracera alnifolia Willd.,Plantae,Tetracera,alnifolia,5680805
Zieria cytisoides,7269013,,Zieria cytisoides Sm.,Plantae,Zieria,cytisoides,7269013
Zieria involucrata,5593337,,Zieria involucrata R.Br. ex Benth.,Plantae,Zieria,involucrata,5593337
Zieria murphyi,5593288,,Zieria murphyi Blakely,Plantae,Zieria,murphyi,5593288
Zieria obcordata,5593285,,Zieria obcordata A.Cunn.,Plantae,Zieria,obcordata,5593285
Zieria robusta,5593219,,Zieria robusta Maiden & Betche,Plantae,Zieria,robusta,5593219
Acer glabrum,3189864,,Acer glabrum Torr.,Plantae,Acer,glabrum,3189864
Alchemilla speciosa,3028148,,Alchemilla speciosa Buser,Plantae,Alchemilla,speciosa,3028148
Allium triquetrum,2856457,,Allium triquetrum L.,Plantae,Allium,triquetrum,2856457
Alstonia somersetensis,5535560,5535555.0,Alstonia somersetensis F.M.Bailey,Plantae,Alstonia,somersetensis,5535555
Alstroemeria pulchra,2753903,,Alstroemeria pulchra Sims,Plantae,Alstroemeria,pulchra,2753903
Amborella trichopoda,3667902,,Amborella trichopoda Baill.,Plantae,Amborella,trichopoda,3667902
Anaphalis,3136861,,Anaphalis DC.,Plantae,Anaphalis,spp.,3136861
Anisodus luridus,7300207,3803433.0,Anisodus luridus Link,Plantae,Anisodus,luridus,3803433
Annona crassiflora,5407096,,Annona crassiflora Mart.,Plantae,Annona,crassiflora,5407096
Aristeguietia gayana,3110141,,Aristeguietia gayana (Wedd.) R.M.King & H.Rob.,Plantae,Aristeguietia,gayana,3110141
Arnica discoidea,5405984,,Arnica discoidea Benth.,Plantae,Arnica,discoidea,5405984
Arnica frigida,6064426,5699713.0,Arnica frigida C.A.Mey. ex Iljin,Plantae,Arnica,frigida,5699713
Arnica fulgens,5405934,,Arnica fulgens Pursh,Plantae,Arnica,fulgens,5405934
Arnica latifolia,5406004,,Arnica latifolia Bong.,Plantae,Arnica,latifolia,5406004
