Code,Title,Path
8B2Z,"- - Cerebrovascular diseases, unspecified",/- Cerebrovascular diseases/- - Intracranial haemorrhage/- - Cerebral ischaemia
8B40,- - Cauda equina syndrome,/- Spinal cord disorders excluding trauma
8B41,- - Myelitis,/- Spinal cord disorders excluding trauma
8B42,- - Myelopathy,/- Spinal cord disorders excluding trauma
8B43,- - Non-compressive vascular myelopathies,/- Spinal cord disorders excluding trauma
8B44,- - Degenerative myelopathic disorders,/- Spinal cord disorders excluding trauma
8B4Y,- - Other specified spinal cord disorders excluding trauma,/- Spinal cord disorders excluding trauma
8B4Z,"- - Spinal cord disorders excluding trauma, unspecified",/- Spinal cord disorders excluding trauma
8B60,- - Motor neuron disease,/- Motor neuron diseases or related disorders
8B61,- - Spinal muscular atrophy,/- Motor neuron diseases or related disorders
8B62,- - Post polio progressive muscular atrophy,/- Motor neuron diseases or related disorders
8B6Y,- - Other specified motor neuron diseases or related disorders,/- Motor neuron diseases or related disorders
8B6Z,"- - Motor neuron diseases or related disorders, unspecified",/- Motor neuron diseases or related disorders
8B80,- - - Disorders of olfactory nerve,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B81,- - - Disorders of vestibulocochlear nerve,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B82,- - - Disorders of trigeminal nerve,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B83,- - - Disorders of spinal accessory nerve,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B84,- - - Disorders of hypoglossal nerve,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B85,- - - Disorders of multiple cranial nerves,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B86,- - - Disorders of vagus nerve,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B87,- - - Disorders of glossopharyngeal nerve,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B88,- - - Disorders of facial nerve,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B8Y,- - - Other specified disorders of cranial nerves,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B8Z,"- - - Disorders of cranial nerves, unspecified","/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves"
8B90,- - - Nerve root or plexus compressions,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders"
8B91,- - - Brachial plexus disorders,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders"
8B92,- - - Lumbosacral plexus disorders,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders"
8B93,- - - Radiculopathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders"
8B94,- - - Diabetic radiculoplexoneuropathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders"
8B95,- - - Secondary brachial plexus lesion due to certain specified disorders,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders"
8B9Y,- - - Other specified nerve root or plexus disorders,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders"
8B9Z,"- - - Nerve root or plexus disorders, unspecified","/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders"
8C00,- - - Idiopathic progressive neuropathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy"
8C01,- - - Inflammatory polyneuropathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy"
8C03,- - - Other secondary polyneuropathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy"
8C0Y,- - - Other specified polyneuropathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy"
8C0Z,"- - - Polyneuropathy, unspecified","/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy"
8C10,- - - Mononeuropathies of upper limb,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy"
8C11,- - - Mononeuropathies of lower limb,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy"
8C12,- - - Certain specified mononeuropathies,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy"
8C1Y,- - - Mononeuropathy of other specified site,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy"
8C1Z,- - - Mononeuropathy of unspecified site,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy"
8C20,- - - Hereditary motor and sensory neuropathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy/- - Hereditary neuropathy"
8C21,- - - Hereditary sensory or autonomic neuropathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy/- - Hereditary neuropathy"
8C2Y,- - - Other specified hereditary neuropathy,"/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy/- - Hereditary neuropathy"
8C2Z,"- - - Hereditary neuropathy, unspecified","/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy/- - Hereditary neuropathy"
8C4Y,"- - Other specified disorders of nerve root, plexus or peripheral nerves","/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy/- - Hereditary neuropathy"
8C4Z,"- - Disorders of nerve root, plexus or peripheral nerves, unspecified","/- Disorders of nerve root, plexus or peripheral nerves/- - Disorders of cranial nerves/- - Nerve root or plexus disorders/- - Polyneuropathy/- - Mononeuropathy/- - Hereditary neuropathy"
8C60,- - - Myasthenia gravis,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders
8C61,- - - Congenital myasthenic syndromes,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders
8C62,- - - Lambert-Eaton syndrome,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders
8C6Y,- - - Other specified neuromuscular junction disorders,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders
8C6Z,"- - - Neuromuscular junction disorders, unspecified",/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders
8C70,- - - Muscular dystrophy,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C71,- - - Myotonic disorders,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C72,- - - Congenital myopathies,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C73,- - - Mitochondrial myopathies,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C74,- - - Periodic paralyses or disorders of muscle membrane excitability,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C75,- - - Distal myopathies,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C76,- - - Myofibrillar myopathy,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C77,- - - Ocular myopathy,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C78,- - - Malignant hyperthermia or hyperpyrexia,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
8C7Y,- - - Other specified primary disorders of muscles,/- Diseases of neuromuscular junction or muscle/- - Myasthenia gravis or certain specified neuromuscular junction disorders/- - Primary disorders of muscles
